jurisdiction_id,jurisdiction_desc,tax_percentage
VA.LANC2,VA Lancaster Co .0100,0.053
VA.LEE2,VA Lee Co .0100,0.053
VA.LEXCTY2,VA Lexington City .0100,0.05
VA.LOUD2,VA Loudoun Co .0100,0.06
VA.LOUI2,VA Louisa Co .0100,0.053
VA.LUNE2,VA Lunenburg Co .0100,0.053
VA.LYNCTY2,VA Lynchburg City .0100,0.053
VA.MADI2,VA Madison Co .0100,0.053
VA.MANA2,VA Manassas County,0.06
VA.MANCTY2,VA Manassas City .0100,0.06
VA.MANPARK,VA.Manassas Park City,0.06
VA.MARCTY2,VA Martinsville City .0100,0.053
VA.MATH2,VA Mathews Co .0100,0.053
VA.MECK2,VA Mecklenburg Co .0100,0.053
VA.MIDD2,VA Middlesex Co .0100,0.053
VA.MNPCTY2,VA Manassas Park City .0100,0.06
VA.MONT2,VA Montgomery Co .0100,0.053
VA.NELS2,VA Nelson Co .0100,0.053
VA.NEWCTY2,VA Newport News City .0100,0.06
VA.NEWK2,VA New Kent Co .0100,0.053
VA.NORA2,VA Northampton Co .0100,0.063
VA.NORCTY2,VA Norfolk City .0100,0.06
VA.NORT2,VA Norton City  .0100,0.053
VA.NORU2,VA Northumberland Co .0100,0.053
VA.NOTT2,VA Nottoway Co .0100,0.053
VA.NRTCTY2,VA Norton City .0100,0.05
VA.ORAN2,VA Orange Co .0100,0.053
VA.PAGE2,VA Page Co .0100,0.053
VA.PATR2,VA Patrick Co .0100,0.063
VA.PETCTY2,VA Petersburg City .0100,0.053
VA.PITT2,VA Pittsylvania Co .0100,0.063
VA.POQCTY2,VA Poquoson City .0100,0.06
VA.PORCTY2,VA Portsmouth City .0100,0.06
VA.POWH2,VA Powhatan Co .0100,0.06
VA.PRIN2,VA Prince Edward Co .0100,0.053
VA.PRING2,VA Prince George Co .0100,0.053
VA.PRWI2,VA.Prince Wiliam Co .0100,0.06
VA.PULA2,VA Pulaski Co .0100,0.053
VA.RADCTY2,VA Radford City .0100,0.053
VA.RAPP2,VA Rappahannock Co .0100,0.053
VA.RICCTY2,VA Richmond city .0100,0.05
VA.RICH2,VA Rchmond Co .0100,0.053
VA.ROACTY2,VA Roanoke City .0100,0.05
VA.ROANCO2,VA Roanoke Co .0100,0.053
VA.ROCH2,VA Rockingham Co .0100,0.053
VA.ROCK2,VA Rockbridge Co .0100,0.053
VA.RUSS2,VA Russell Co .0100,0.053
VA.SALCTY2,VA Salem City .0100,0.053
VA.SCOT2,VA Scott Co .0100,0.053
VA.SHEN2,VA Shenandoah Co .0100,0.053
VA.SMYT2,VA Smyth Co .0100,0.053
VA.SOUT2,VA Southampton Co .0100,0.06
VA.SPOT2,VA Spotsylvania Co .0100,0.053
VA.STACTY2,VA Staunton City .0100,0.053
VA.STAF2,VA Stafford Co .0100,0.053
VA.SUFCTY2,VA Suffolk City .0100,0.06
VA.SURR2,VA Surry Co .0100,0.053
VA.SUSS2,VA Sussex Co .0100,0.053
VA.TAZE2,VA Tazewell Co .0100,0.053
VA.VIRCTY2,VA Virginia Beach City .0100,0.06
VA.WAR2,VA Warren Co .0100,0.053
VA.WARR2,VA Warren Co .0100,0.053
VA.WASH2,VA Washington Co .0100,0.053
VA.WAYCTY2,VA Waynesboro City .0100,0.053
VA.WEST2,VA Westmoreland Co .0100,0.053
VA.WILCTY2,VA Williamsburg City .0100,0.07
VA.WINCTY2,VA Winchester City .0100,0.053
VA.WISE2,VA Wise Co .0100,0.053
VA.WYTH2,VA Wythe Co .0100,0.053
VA.YORK2,VA York Co .0100,0.07
WV.CHARLES,WV.Charleston,0.065
WV.HARRISV,WV.Harrisville,0.07
WV.HUNTING,WV.Huntington,0.07
WV.QUINWOO,WV.Quinwood,0.07
WV.RUPERT,WV.Rupert,0.07
WV.STATE,WV State Tax,0.06
WV.WHEELIN,WV.Wheeling,0.065
WV.WILLIAM,WV.Williamstown,0.07
